,Px10,Px11,Px12,Px13,Px14,Px15,Px16,Px17,Px18,Px19,Px1,Px20,Px21,Px22,Px23,Px24,Px25,Px26,Px27,Px28,Px29,Px2,Px30,Px31,Px32,Px33,Px34,Px35,Px36,Px37,Px38,Px39,Px3,Px40,Px4,Px5,Px6,Px7,Px8,Px9,N1,N2,N3,N4,N5,N6,N7,N8
UNI1984,0,3,0,266,1,0,1,1,0,50705,0,0,0,0,0,0,13,0,0,190,0,0,0,2,0,3,0,0,0,0,0,8,0,0,0,16,0,1,11,0,0,0,0,0,0,0,0,0
UNI1900,879,0,1,0,0,0,6,0,0,0,95,0,0,12849,1758,234,0,3679,0,0,0,8,2,0,0,0,0,0,7,0,0,0,0,8767,0,0,6487,0,1,0,0,0,0,0,0,0,0,0
UNI2590,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23111,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UNI4126,0,0,0,0,0,9736,0,2,0,0,5,3,1,0,12,0,0,2,0,0,0,1,0,0,2133,0,15,1,3,0,0,0,6664,0,0,0,1,0,1,51,2,0,0,0,0,0,0,0
UNI2857,1,0,0,0,0,6,4,0,0,0,1633,0,6,8694,0,0,0,0,0,0,7,5,3,1,0,0,0,10,0,0,0,0,0,670,0,115,3,0,38,6541,0,0,0,0,0,0,0,0
UNI2999,0,0,0,0,0,1,1,0,0,0,0,16702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0
UNI2913,3,0,0,0,0,3,13,2,0,0,7,0,1,6,3520,1,0,0,0,0,4270,20,1072,0,0,0,0,64,4920,28,19,0,3,0,0,0,1,4,0,2,0,0,0,0,1,0,0,0
UNI3837,0,0,0,0,0,0,0,0,0,0,0,13461,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
UNI3713,0,0,0,0,0,0,0,0,0,0,0,10609,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
UNI3642,1,0,0,0,0,0,10316,2,0,0,0,0,0,5,0,0,223,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI4221,0,0,0,0,0,1,0,0,0,0,5,0,9,0,0,0,0,0,0,0,10431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
UNI4593,0,0,0,0,0,1,0,0,0,0,9218,2,0,0,0,0,0,0,0,7,0,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,0,2,1,0,0,0,0,0,0,0,0
UNI6262,0,0,0,0,0,0,0,0,0,0,5954,220,1,0,0,0,0,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,2997,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
UNI3828,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8986,0,0,0,0,0,0,0,0,0,0,0,0
UNI6013,0,0,0,0,0,0,1,0,0,0,0,0,0,4112,1,0,0,5,0,0,0,2,1,0,113,0,0,0,0,0,0,0,0,3785,0,0,0,0,0,0,961,0,0,0,0,0,0,0
UNI5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6784,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI5466,0,0,0,0,0,0,0,0,0,0,1,158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
UNI6220,0,1,586,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4950,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
UNI5970,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5526,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
